systemName;region;route;banner;abbrev;city;root
indtg;IND-TG;TGIRR;;;Hyderabad Inner Ring Road;indtg.irr;
indtg;IND-TG;TGORR;;;Hyderabad Outer Ring Road;indtg.orr;
indtg;IND-TG;TG1;;;;indtg.tg001;
indtg;IND-TG;TG2;;;;indtg.tg002;
indtg;IND-TG;TG7;;;;indtg.tg007;
indtg;IND-TG;TG11;;;;indtg.tg011;
indtg;IND-TG;TG14;;;;indtg.tg014;
indtg;IND-TG;TG15;;;;indtg.tg015;
indtg;IND-TG;TG15;;hyd;Hyderabad;indtg.tg015hyd;
indtg;IND-TG;TG18;;;;indtg.tg018;
indtg;IND-TG;TG19;;;;indtg.tg019;
indtg;IND-TG;TG20;;;;indtg.tg020;
indtg;IND-TG;TG21;;;;indtg.tg021;
indtg;IND-TG;TG22;;;;indtg.tg022;
indtg;IND-TG;TG24;;;;indtg.tg024;